               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.016983,            0.021265,           0.0013641,             0.81615,             0.90301,             0.92535,             0.78644,            0.012618,             0.01607,          0.00079867,            0.006964,            0.006964,            0.006964
                  94,            0.016674,            0.020673,           0.0014436,             0.84286,             0.86474,             0.92483,             0.78489,            0.012669,            0.016179,            0.001157,            0.006931,            0.006931,            0.006931
                  95,            0.016911,            0.021258,           0.0013644,             0.84302,             0.86847,             0.92623,              0.7893,             0.01259,            0.016188,          0.00097424,            0.006898,            0.006898,            0.006898
                  96,            0.016574,            0.020799,           0.0011254,             0.83347,             0.88994,             0.92708,             0.78883,            0.012601,            0.015953,           0.0013063,            0.006865,            0.006865,            0.006865
                  97,            0.016503,            0.020538,           0.0012564,             0.84578,             0.87355,             0.92946,                0.79,            0.012611,            0.015949,          0.00079554,            0.006832,            0.006832,            0.006832
                  98,            0.016511,            0.020294,           0.0011767,             0.81456,             0.89886,             0.92623,              0.7899,            0.012529,            0.016073,          0.00083147,            0.006799,            0.006799,            0.006799
                  99,            0.016731,            0.020972,           0.0010534,             0.83874,              0.8686,             0.92376,              0.7873,            0.012422,            0.016359,          0.00089309,            0.006766,            0.006766,            0.006766
                 100,            0.016757,            0.020839,           0.0010019,             0.83814,             0.87524,             0.92557,             0.78791,            0.012384,            0.016398,          0.00070896,            0.006733,            0.006733,            0.006733
                 101,            0.016313,            0.020468,           0.0015605,             0.83926,             0.88697,             0.92448,             0.78943,            0.012366,            0.016011,          0.00087048,              0.0067,              0.0067,              0.0067
                 102,            0.016497,            0.020703,           0.0011655,             0.86087,             0.85802,             0.92691,             0.79158,            0.012375,            0.015958,          0.00099951,            0.006667,            0.006667,            0.006667
                 103,            0.016554,             0.02044,          0.00093495,              0.8486,             0.88995,              0.9319,             0.79354,            0.012437,            0.015854,          0.00074161,            0.006634,            0.006634,            0.006634
                 104,            0.016376,            0.020378,          0.00094106,             0.85225,             0.88493,              0.9297,             0.79447,             0.01244,            0.015953,           0.0010435,            0.006601,            0.006601,            0.006601
                 105,            0.016355,            0.020439,           0.0010299,             0.85137,             0.86468,             0.92449,             0.78949,            0.012376,            0.016181,           0.0012976,            0.006568,            0.006568,            0.006568
                 106,            0.016451,            0.020204,           0.0010436,             0.84491,             0.88164,             0.92357,             0.78798,            0.012364,            0.016421,          0.00074575,            0.006535,            0.006535,            0.006535
                 107,            0.016548,            0.021113,           0.0014901,             0.84894,             0.88536,             0.93107,              0.7954,            0.012425,            0.015928,           0.0010692,            0.006502,            0.006502,            0.006502
                 108,            0.016407,            0.020662,           0.0012953,             0.84437,             0.88101,             0.92874,             0.79477,            0.012295,            0.016033,           0.0013824,            0.006469,            0.006469,            0.006469
                 109,             0.01625,            0.020001,           0.0013764,             0.86233,             0.85571,             0.92401,             0.78839,            0.012374,            0.016286,           0.0012326,            0.006436,            0.006436,            0.006436
                 110,            0.016257,            0.019799,           0.0012089,             0.83434,             0.88158,             0.92371,             0.78881,            0.012344,            0.016445,          0.00087367,            0.006403,            0.006403,            0.006403
                 111,            0.016317,            0.020545,            0.001189,             0.81446,             0.91752,             0.92669,             0.79239,            0.012363,            0.016287,           0.0013151,             0.00637,             0.00637,             0.00637
                 112,            0.016379,            0.020366,            0.001066,              0.8587,             0.85726,             0.92348,             0.78865,            0.012476,            0.016343,            0.001418,            0.006337,            0.006337,            0.006337
                 113,            0.016459,            0.020677,           0.0015477,             0.83548,              0.8776,             0.92281,              0.7867,            0.012449,            0.016249,           0.0016329,            0.006304,            0.006304,            0.006304
                 114,            0.016278,              0.0203,           0.0012367,             0.84902,             0.87234,             0.92518,             0.78943,            0.012412,            0.016316,           0.0013848,            0.006271,            0.006271,            0.006271
                 115,            0.016341,            0.020153,           0.0016428,             0.84725,              0.8634,             0.91951,             0.78643,            0.012447,            0.016605,           0.0014124,            0.006238,            0.006238,            0.006238
                 116,            0.016317,            0.020877,              0.0012,             0.83589,             0.88463,             0.92419,             0.79049,             0.01232,            0.016028,           0.0013503,            0.006205,            0.006205,            0.006205
                 117,            0.016083,            0.020044,            0.001363,             0.83835,             0.88368,             0.92507,             0.78823,            0.012358,            0.016288,           0.0012734,            0.006172,            0.006172,            0.006172
                 118,             0.01615,            0.020153,           0.0013093,             0.81728,             0.89597,             0.92395,              0.7883,            0.012337,            0.016537,          0.00077172,            0.006139,            0.006139,            0.006139
                 119,            0.016196,            0.020437,           0.0010348,             0.82823,             0.88164,             0.92021,             0.78541,             0.01239,            0.016592,           0.0009573,            0.006106,            0.006106,            0.006106
                 120,            0.016154,            0.020567,           0.0015465,             0.84232,              0.8681,             0.92194,             0.78786,            0.012327,            0.016414,           0.0012623,            0.006073,            0.006073,            0.006073
                 121,            0.016088,            0.019829,           0.0011455,             0.82683,             0.89594,              0.9214,             0.78719,            0.012328,            0.016298,           0.0011646,             0.00604,             0.00604,             0.00604
                 122,            0.015902,            0.019775,          0.00082518,             0.83855,             0.88035,              0.9225,              0.7877,            0.012359,            0.016482,           0.0012497,            0.006007,            0.006007,            0.006007
                 123,            0.015834,            0.019741,          0.00086858,             0.84441,             0.85871,             0.91932,             0.78622,            0.012386,            0.016359,           0.0016013,            0.005974,            0.005974,            0.005974
                 124,            0.015755,            0.019159,             0.00101,             0.85643,              0.8667,             0.92389,             0.79257,            0.012273,            0.016353,           0.0011613,            0.005941,            0.005941,            0.005941
                 125,            0.016134,            0.020025,           0.0015442,             0.85519,             0.86039,             0.92491,               0.792,            0.012314,            0.016255,           0.0010716,            0.005908,            0.005908,            0.005908
                 126,            0.016085,            0.020497,           0.0012011,             0.84358,             0.87613,              0.9233,             0.79056,            0.012313,            0.016356,          0.00086312,            0.005875,            0.005875,            0.005875
                 127,            0.015897,            0.020333,           0.0014204,             0.82015,             0.89441,             0.92228,             0.78921,            0.012323,            0.016416,          0.00093372,            0.005842,            0.005842,            0.005842
                 128,            0.015894,            0.019423,           0.0012623,             0.82509,              0.8906,             0.92148,             0.78953,             0.01227,            0.016387,           0.0012135,            0.005809,            0.005809,            0.005809
                 129,             0.01568,            0.019221,           0.0012164,             0.82387,             0.89491,             0.92285,             0.78819,            0.012372,            0.016405,           0.0012893,            0.005776,            0.005776,            0.005776
